REGISTRO;PRODUTO;TIPO DE PRODUTO ;APRESENTACAO;CLASSE TERAPEUTICA;CNPJ;LABORATORIO;PF Sem Impostos;TARJA
1,54E+12;HEMITARTARATO DE ZOLPIDEM;Genérico;10 MG COM REV CT BL AL PLAS PVC TRANS X 20;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;03.485.572/0001-04;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;30,49;Tarja Vermelha (*)
1,54E+12;HEMITARTARATO DE ZOLPIDEM;Genérico;10 MG COM REV CT BL AL PLAS PVC TRANS X 420;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;03.485.572/0001-04;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;640,38;Tarja Vermelha (*)
1,57E+12;ZYLINOX;Similar;10 MG COM REV CT STR AL X 30;N5B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;05.254.971/0001-81;ZYDUS NIKKHO FARMACÊUTICA LTDA;34,29;Tarja Vermelha sob restrição
1,83E+12;STILNOX;Novo;10 MG COM REV CT  BL AL PLAS TRANS X 20;N5B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;10.588.595/0010-92;SANOFI MEDLEY FARMACÊUTICA LTDA.;45,44;Tarja 
1,83E+12;STILNOX;Novo;10 MG COM REV CT  BL AL PLAS TRANS X 30;N5B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;10.588.595/0010-92;SANOFI MEDLEY FARMACÊUTICA LTDA.;71,32;Tarja 
1,83E+12;STILNOX;Novo;6,25 MG COM LIB PROL CT BL AL PLAS TRANS X 20;N5B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;10.588.595/0010-92;SANOFI MEDLEY FARMACÊUTICA LTDA.;22,72;Tarja 
1,83E+12;STILNOX;Novo;12,5 MG COM LIB PROL CT BL AL PLAS TRANS X 20;N5B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;10.588.595/0010-92;SANOFI MEDLEY FARMACÊUTICA LTDA.;45,44;Tarja 
1,83E+12;STILNOX;Novo;12,5 MG COM LIB PROL CT BL AL PLAS TRANS X 30;N5B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;10.588.595/0010-92;SANOFI MEDLEY FARMACÊUTICA LTDA.;68,17;Tarja 
1,83E+12;STILNOX;Novo;6,25 MG COM LIB PROL CT BL AL PLAS TRANS X 30;N5B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;10.588.595/0010-92;SANOFI MEDLEY FARMACÊUTICA LTDA.;34,09;Tarja 
1,02E+12;HIBOR;Biológico;2500 UI SOL INJ CX 2 SER PREENC X 0,2 ML;B01B2 - HEPARINAS FRACIONADAS;57.507.378/0003-65;EMS S/A;11,23;Tarja  Vermelha
1,02E+12;HIBOR;Biológico;2500 UI SOL INJ CX 10 SER PREENC X 0,2 ML;B01B2 - HEPARINAS FRACIONADAS;57.507.378/0003-65;EMS S/A;56,23;Tarja  Vermelha
1,02E+12;HIBOR;Biológico;3500 UI SOL INJ CX 2 SER PREENC X 0,2 ML;B01B2 - HEPARINAS FRACIONADAS;57.507.378/0003-65;EMS S/A;21,5;Tarja  Vermelha
1,02E+12;HIBOR;Biológico;3500 UI SOL INJ CX 10 SER PREENC X 0,2 ML;B01B2 - HEPARINAS FRACIONADAS;57.507.378/0003-65;EMS S/A;107,52;Tarja  Vermelha
